Country,Player,Year,Own_goal
Uruguay,Angel Romano,1920,FALSE
Uruguay,Jose¸ PÇ¸rez,1920,FALSE
Argentina,Miguel Dellavalle,1920,FALSE
Chile,Hernando Bolados,1920,FALSE
Argentina,RaulEcheverrÇða,1920,FALSE
Argentina,Julio Libonatti,1920,FALSE
Uruguay,Angel Romano,1920,FALSE
Chile,Aurelio DomÇðnguez,1920,FALSE
Uruguay,Jose¸ PÇ¸rez,1920,FALSE
Argentina,Julio Libonatti,1921,FALSE
Paraguay,Gerardo Rivas,1921,FALSE
Paraguay,Ildefonso LÇüpez,1921,FALSE
Uruguay,Jose¸ Piendibene,1921,FALSE
Brazil,Ernesto Duarte Machado da Silva,1921,FALSE
Brazil,Ernesto Duarte Machado da Silva,1921,FALSE
Brazil,AnÇðbal MÇ¸dicis Candiota,1921,FALSE
Argentina,Julio Libonatti,1921,FALSE
Argentina,Blas Saruppo,1921,FALSE
Argentina,RaulEcheverrÇða,1921,FALSE
Uruguay,Angel Romano,1921,FALSE
Uruguay,Angel Romano,1921,FALSE
Brazil,Jose¸ Carlos GuimarÇœes,1921,FALSE
Argentina,Julio Libonatti,1921,FALSE
Brazil,Altino Marcondes,1922,FALSE
Chile,Manuel Bravo Paredes,1922,FALSE
Uruguay,Juan Carlos Heguy,1922,FALSE
Uruguay,Antonio UrdinarÇ­n,1922,FALSE
Brazil,AmÇðlcar Barbuy,1922,FALSE
Paraguay,Gerardo Rivas,1922,FALSE
Argentina,Angel Chiessa,1922,FALSE
Argentina,Julio Francia,1922,FALSE
Argentina,Julio Francia,1922,FALSE
Argentina,Jose¸ Gaslini,1922,FALSE
Paraguay,Julio RamÇðrez,1922,FALSE
Paraguay,Ildefonso LÇüpez,1922,FALSE
Paraguay,Luis Fretes,1922,FALSE
Uruguay,Felipe Buffoni,1922,FALSE
Paraguay,Carlos Elizeche,1922,FALSE
Brazil,Neco,1922,FALSE
Brazil,AmÇðlcar Barbuy,1922,FALSE
Argentina,Julio Francia,1922,FALSE
Argentina,Julio Francia,1922,FALSE
Brazil,Neco,1922,FALSE
Brazil,Xavier Camargo,1922,FALSE
Brazil,Xavier Camargo,1922,FALSE
Paraguay,Gerardo Rivas,1923,FALSE
Argentina,Blas Saruppo,1923,FALSE
Paraguay,AgustÇðn Zelada,1923,FALSE
Argentina,Vicente Aguirre,1923,FALSE
Paraguay,Luis Fretes,1923,FALSE
Argentina,Vicente Aguirre,1923,FALSE
Argentina,Vicente Aguirre,1923,FALSE
Uruguay,Hector Scarone,1923,FALSE
Uruguay,Pedro Petrone,1923,FALSE
Paraguay,Ildefonso LÇüpez,1923,FALSE
Argentina,CesÇ­reo Onzari,1923,FALSE
Brazil,Nilo Braga,1923,FALSE
Argentina,Blas Saruppo,1923,FALSE
Uruguay,Pedro Petrone,1923,FALSE
Brazil,Nilo Braga,1923,FALSE
Uruguay,Jose¸ Cea,1923,FALSE
Uruguay,Pedro Petrone,1923,FALSE
Uruguay,Pascual Somma,1923,FALSE
Czechoslovakia,Rudolf Sloup,1924,FALSE
Czechoslovakia,Josef SedlÇ­Žek,1924,FALSE
Czechoslovakia,Josef SedlÇ­Žek,1924,FALSE
Turkey,Bekir Refet,1924,FALSE
Czechoslovakia,Jan NovÇ­k,1924,FALSE
Czechoslovakia,Josef Ž?apek,1924,FALSE
Turkey,Bekir Refet,1924,FALSE
Italy,Pedro Vallana,1924,TRUE
Switzerland,Paul Sturzenegger,1924,FALSE
Switzerland,Walter Dietrich,1924,FALSE
Switzerland,Max Abegglen,1924,FALSE
Switzerland,Paul Sturzenegger,1924,FALSE
Switzerland,Max Abegglen,1924,FALSE
Switzerland,Max Abegglen,1924,FALSE
Switzerland,Rudolf Ramseyer,1924,FALSE
Switzerland,Paul Sturzenegger,1924,FALSE
Switzerland,Paul Sturzenegger,1924,FALSE
United States,Andy Straden,1924,FALSE
Hungary,JÇüzsef Eisenhoffer,1924,FALSE
Hungary,Ferenc Hirzer,1924,FALSE
Hungary,Ferenc Hirzer,1924,FALSE
Hungary,Zoltan Opata,1924,FALSE
Hungary,Zoltan Opata,1924,FALSE
Uruguay,Jose¸ Vidal,1924,FALSE
Uruguay,Hector Scarone,1924,FALSE
Uruguay,Pedro Petrone,1924,FALSE
Uruguay,Pedro Cea,1924,FALSE
Uruguay,Angel Romano,1924,FALSE
Uruguay,Pedro Petrone,1924,FALSE
Uruguay,Pedro Cea,1924,FALSE
France,Edouard Crut,1924,FALSE
France,Paul Nicolas,1924,FALSE
France,Edouard Crut,1924,FALSE
France,Paul Nicolas,1924,FALSE
France,Edouard Crut,1924,FALSE
France,Jean Boyer,1924,FALSE
France,Jean Boyer,1924,FALSE
Netherlands,Albert Hurgronje,1924,FALSE
Netherlands,Kees Pijl,1924,FALSE
Netherlands,Kees Pijl,1924,FALSE
Netherlands,Kees Pijl,1924,FALSE
Netherlands,Kees Pijl,1924,FALSE
Netherlands,Johannes de Natris,1924,FALSE
Republic of Ireland,Paddy Duncan,1924,FALSE
Czechoslovakia,Rudolf Sloup,1924,FALSE
Switzerland,Walter Dietrich,1924,FALSE
Egypt,Ibrahim Yakan,1924,FALSE
Egypt,Hussein Hegazi,1924,FALSE
Egypt,Ibrahim Yakan,1924,FALSE
Italy,Adolfo Baloncieri,1924,FALSE
Italy,Giuseppe Della Valle,1924,FALSE
Sweden,Rudolf Kock,1924,FALSE
Sweden,Sven Rydell,1924,FALSE
Sweden,Rudolf Kock,1924,FALSE
Sweden,Charles Brommesson,1924,FALSE
Sweden,Tore Keller,1924,FALSE
Sweden,Sven Rydell,1924,FALSE
Belgium,Henri Larnoe,1924,FALSE
Sweden,Rudolf Kock,1924,FALSE
Sweden,Sven Rydell,1924,FALSE
Uruguay,Pedro Petrone,1924,FALSE
Uruguay,Hector Scarone,1924,FALSE
Uruguay,Pedro Petrone,1924,FALSE
Switzerland,Robert Pache,1924,FALSE
Uruguay,Hector Scarone,1924,FALSE
France,Paul Nicolas,1924,FALSE
Uruguay,Hector Scarone,1924,FALSE
Uruguay,Pedro Petrone,1924,FALSE
Uruguay,Pedro Petrone,1924,FALSE
Uruguay,Angel Romano,1924,FALSE
Sweden,Per Kaufeldt,1924,FALSE
Sweden,Charles Brommesson,1924,FALSE
Sweden,Charles Brommesson,1924,FALSE
Sweden,Sven Rydell,1924,FALSE
Sweden,Per Kaufeldt,1924,FALSE
Netherlands,Ok Formenoy,1924,FALSE
Republic of Ireland,Frank Ghent,1924,FALSE
Netherlands,Ok Formenoy,1924,FALSE
Switzerland,Paul Sturzenegger,1924,FALSE
Italy,Giuseppe Della Valle,1924,FALSE
Switzerland,Max Abegglen,1924,FALSE
Switzerland,Max Abegglen,1924,FALSE
Sweden,Rudolf Kock,1924,FALSE
Switzerland,Max Abegglen,1924,FALSE
Netherlands,Cornelis Pijl,1924,FALSE
Uruguay,Pedro Cea,1924,FALSE
Uruguay,Hector Scarone,1924,FALSE
Sweden,Per Kaufeldt,1924,FALSE
Netherlands,Andre¸ le Feùvre,1924,FALSE
Sweden,Sven Rydell,1924,FALSE
Sweden,Evert Lundqvist,1924,FALSE
Netherlands,Ok Formenoy,1924,FALSE
Sweden,Sven Rydell,1924,FALSE
Uruguay,Pedro Petrone,1924,FALSE
Uruguay,Pedro Cea,1924,FALSE
Uruguay,Angel Romano,1924,FALSE
Uruguay,Pedro Petrone,1924,FALSE
Uruguay,Pedro Petrone,1924,FALSE
Uruguay,Pedro Zingone,1924,FALSE
Uruguay,Angel Romano,1924,FALSE
Uruguay,Pedro Petrone,1924,FALSE
Argentina,Gabino Sosa,1924,FALSE
Argentina,Juan Loyarte,1924,FALSE
Uruguay,Pedro Petrone,1924,FALSE
Uruguay,Angel Romano,1924,FALSE
Uruguay,Jose¸ Cea,1924,FALSE
Paraguay,Paisano Urbita Sosa,1924,FALSE
Chile,David Arellano,1924,FALSE
Paraguay,Ildefonso LÇüpez,1924,FALSE
Paraguay,Ildefonso LÇüpez,1924,FALSE
Paraguay,Gerardo Rivas,1924,FALSE
Argentina,Manuel Seoane,1925,FALSE
Argentina,Martin Sanchez,1925,FALSE
Brazil,Anfilogino Marques,1925,FALSE
Brazil,Arthur Friedenreich,1925,FALSE
Paraguay,Gerardo Rivas,1925,FALSE
Brazil,Severino Da Silva,1925,FALSE
Brazil,Severino Da Silva,1925,FALSE
Paraguay,Gerardo Rivas,1925,FALSE
Brazil,Nilo Braga,1925,FALSE
Brazil,Nilo Braga,1925,FALSE
Argentina,Manuel Seoane,1925,FALSE
Argentina,Manuel Seoane,1925,FALSE
Argentina,Alfredo Garasini,1925,FALSE
Argentina,Manuel Seoane,1925,FALSE
Brazil,Nilo Braga,1925,FALSE
Brazil,Severino Da Silva,1925,FALSE
Paraguay,Luis Fretes,1925,FALSE
Brazil,Severino Da Silva,1925,FALSE
Paraguay,Manuel Fleitas Solich,1925,FALSE
Argentina,Domingo Tarasconi,1925,FALSE
Argentina,Manuel Seoane,1925,FALSE
Argentina,Juan Carlos Irurieta,1925,FALSE
Brazil,Arthur Friedenreich,1925,FALSE
Brazil,Nilo Braga,1925,FALSE
Argentina,Antonio Cerroti,1925,FALSE
Argentina,Manuel Seoane,1925,FALSE
Chile,Manuel RamÇðrez,1926,FALSE
Chile,Guillermo Subiabre,1926,FALSE
Chile,David Arellano,1926,FALSE
Chile,David Arellano,1926,FALSE
Chile,Humberto Moreno,1926,FALSE
Bolivia,TeÇüfilo Aguilar,1926,FALSE
Chile,David Arellano,1926,FALSE
Chile,David Arellano,1926,FALSE
Argentina,Roberto Cherro,1926,FALSE
Argentina,Roberto Cherro,1926,FALSE
Argentina,Gabino Sosa,1926,FALSE
Argentina,Benjamon Delgado,1926,FALSE
Argentina,Antonio de Miguel,1926,FALSE
Uruguay,Rene¸ Borjas,1926,FALSE
Uruguay,Hector Castro,1926,FALSE
Uruguay,Hector Scarone,1926,FALSE
Chile,Guillermo Subiabre,1926,FALSE
Argentina,Gabino Sosa,1926,FALSE
Argentina,Roberto Cherro,1926,FALSE
Argentina,Gabino Sosa,1926,FALSE
Argentina,Benjamon Delgado,1926,FALSE
Argentina,Benjamon Delgado,1926,FALSE
Argentina,Antonio de Miguel,1926,FALSE
Argentina,Gabino Sosa,1926,FALSE
Argentina,Gabino Sosa,1926,FALSE
Bolivia,Carlos Soto,1926,FALSE
Paraguay,Ildefonso LÇüpez,1926,FALSE
Paraguay,Ceferino RamÇðrez,1926,FALSE
Paraguay,Ceferino RamÇðrez,1926,FALSE
Paraguay,Pablo RamÇðrez,1926,FALSE
Paraguay,Ildefonso LÇüpez,1926,FALSE
Paraguay,Ceferino RamÇðrez,1926,FALSE
Uruguay,Rene¸ Borjas,1926,FALSE
Uruguay,Hector Castro,1926,FALSE
Uruguay,Hector Scarone,1926,FALSE
Uruguay,Hector Scarone,1926,FALSE
Uruguay,Hector Scarone,1926,FALSE
Uruguay,Hector Scarone,1926,FALSE
Uruguay,Angel Romano,1926,FALSE
Uruguay,Hector Scarone,1926,FALSE
Chile,Guillermo Saavedra,1926,FALSE
Argentina,Domingo Tarasconi,1926,FALSE
Uruguay,Hector Castro,1926,FALSE
Uruguay,Hector Castro,1926,FALSE
Uruguay,Hector Castro,1926,FALSE
Uruguay,Zoilo Saldombide,1926,FALSE
Paraguay,Manuel Fleitas Solich,1926,FALSE
Uruguay,Hector Castro,1926,FALSE
Uruguay,Zoilo Saldombide,1926,FALSE
Chile,David Arellano,1926,FALSE
Paraguay,Luis Vargas PeÇña,1926,FALSE
Chile,Manuel RamÇðrez,1926,FALSE
Chile,David Arellano,1926,FALSE
Chile,David Arellano,1926,FALSE
Chile,Manuel RamÇðrez,1926,FALSE
Argentina,Segundo Luna,1927,FALSE
Argentina,Alfredo Carricaberry,1927,FALSE
Argentina,Humberto Recanatini,1927,FALSE
Argentina,Manuel Seoane,1927,FALSE
Argentina,Alfredo Carricaberry,1927,FALSE
Bolivia,Mario Alborta,1927,FALSE
Argentina,Segundo Luna,1927,FALSE
Argentina,Manuel Seoane,1927,FALSE
Uruguay,Daniel Ulloa,1927,TRUE
Uruguay,Antonio Sacco,1927,FALSE
Uruguay,Antonio Sacco,1927,FALSE
Uruguay,Hector Castro,1927,FALSE
Uruguay,Pedro Petrone,1927,FALSE
Uruguay,Roberto Figueroa,1927,FALSE
Uruguay,Juan ArremÇün,1927,FALSE
Uruguay,Pedro Petrone,1927,FALSE
Uruguay,Roberto Figueroa,1927,FALSE
Uruguay,Hector Castro,1927,FALSE
Uruguay,Roberto Figueroa,1927,FALSE
Uruguay,Pedro Petrone,1927,FALSE
Uruguay,Hector Scarone,1927,FALSE
Bolivia,Jose¸ Bustamante,1927,FALSE
Bolivia,Jose¸ Bustamante,1927,FALSE
Peru,Demetrio Neyra,1927,FALSE
Peru,Jorge Sarmiento,1927,FALSE
Peru,Alberto Montellanos,1927,FALSE
Uruguay,Hector Scarone,1927,FALSE
Argentina,Humberto Recanatini,1927,FALSE
Argentina,Segundo Luna,1927,FALSE
Uruguay,Hector Scarone,1927,FALSE
Argentina,Adhemar Canavesi,1927,TRUE
Argentina,Manuel Ferreira,1927,FALSE
Peru,Alejandro Villanueva,1927,FALSE
Argentina,Juan Maglio,1927,FALSE
Argentina,Juan Maglio,1927,FALSE
Argentina,Manuel Ferreira,1927,FALSE
Argentina,Alfredo Carricaberry,1927,FALSE
Belgium,Raymond Braine,1928,FALSE
Belgium,Louis Versijp,1928,FALSE
Belgium,Jacques Moeschal,1928,FALSE
Luxembourg,Guillaume Schutz,1928,FALSE
Luxembourg,Jean-Pierre Weisgerber,1928,FALSE
Luxembourg,Robert Theissen,1928,FALSE
Belgium,Jacques Moeschal,1928,FALSE
Belgium,Raymond Braine,1928,FALSE
Chile,Guillermo Saavedra,1928,FALSE
Chile,Alejandro Carbonell,1928,FALSE
Portugal,Vitor Silva,1928,FALSE
Portugal,Pepe Soares,1928,FALSE
Portugal,Pepe Soares,1928,FALSE
Portugal,Valdemar Mota,1928,FALSE
Egypt,Ali El-Hassany,1928,FALSE
Egypt,Ali Mohamed Riad,1928,FALSE
Egypt,Mahmoud Mokhtar El-Tetsh,1928,FALSE
Egypt,Mahmoud Mokhtar El-Tetsh,1928,FALSE
Egypt,Ismail El-Sayed Hooda,1928,FALSE
Egypt,Mahmoud Mokhtar El-Tetsh,1928,FALSE
Turkey,Bekir Refet,1928,FALSE
Egypt,Gamil El-Zobeir,1928,FALSE
Germany,Richard Hofmann,1928,FALSE
Germany,Josef Hornauer,1928,FALSE
Germany,Richard Hofmann,1928,FALSE
Germany,Richard Hofmann,1928,FALSE
Argentina,Manuel Ferreira,1928,FALSE
Argentina,Domingo Tarasconi,1928,FALSE
Argentina,Manuel Ferreira,1928,FALSE
Argentina,Raimondo Orsi,1928,FALSE
Argentina,Roberto Cherro,1928,FALSE
Argentina,Roberto Cherro,1928,FALSE
United States,Rudolph Kuntner,1928,FALSE
Argentina,Roberto Cherro,1928,FALSE
Argentina,Domingo Tarasconi,1928,FALSE
Argentina,Domingo Tarasconi,1928,FALSE
Argentina,Raimondo Orsi,1928,FALSE
United States,Henry Carroll,1928,FALSE
Argentina,Domingo Tarasconi,1928,FALSE
France,Juste Brouzes,1928,FALSE
France,Juste Brouzes,1928,FALSE
Italy,Gino Rossetti,1928,FALSE
Italy,Virgilio Levratto,1928,FALSE
Italy,Elvio Banchero,1928,FALSE
Italy,Adolfo Baloncieri,1928,FALSE
France,Robert Dauphin,1928,FALSE
Portugal,Vitor Silva,1928,FALSE
Yugoslavia,Mirko BonaŽiŽ?,1928,FALSE
Portugal,Augusto Silva,1928,FALSE
Uruguay,Hector Scarone,1928,FALSE
Uruguay,Santos UrdinarÇ­n,1928,FALSE
Spain,Luis Regueiro,1928,FALSE
Spain,Luis Regueiro,1928,FALSE
Spain,Jose¸ Maria Yermo,1928,FALSE
Spain,Jose¸ Maria Yermo,1928,FALSE
Spain,MartÇðn Marculeta,1928,FALSE
Spain,Çngel Mariscal,1928,FALSE
Mexico,Juan CarreÇño,1928,FALSE
Spain,Jose¸ Maria Yermo,1928,FALSE
Spain,Domingo Zaldua,1928,FALSE
Italy,Adolfo Baloncieri,1928,FALSE
Argentina,Domingo Tarasconi,1928,FALSE
Argentina,Manuel Ferreira,1928,FALSE
Argentina,Domingo Tarasconi,1928,FALSE
Belgium,Raymond Braine,1928,FALSE
Belgium,Florimond Vanhalme,1928,FALSE
Belgium,Jacques Moeschal,1928,FALSE
Argentina,Domingo Tarasconi,1928,FALSE
Argentina,Raimondo Orsi,1928,FALSE
Argentina,Domingo Tarasconi,1928,FALSE
Uruguay,Pedro Petrone,1928,FALSE
Uruguay,Pedro Petrone,1928,FALSE
Uruguay,Hector Castro,1928,FALSE
Germany,Richard Hofmann,1928,FALSE
Uruguay,Pedro Petrone,1928,FALSE
Egypt,Mahmoud Mokhtar El-Tetsh,1928,FALSE
Egypt,Ali Mohamed Riad,1928,FALSE
Portugal,Vitor Silva,1928,FALSE
Italy,Mario Magnozzi,1928,FALSE
Italy,Angelo Schiavo,1928,FALSE
Italy,Adolfo Baloncieri,1928,FALSE
Italy,Fulvio Bernardini,1928,FALSE
Spain,Jose¸ Maria Yermo,1928,FALSE
Italy,Enrico Rivolta,1928,FALSE
Italy,Virgilio Levratto,1928,FALSE
Italy,Virgilio Levratto,1928,FALSE
Mexico,Ernesto Sota,1928,FALSE
Chile,Guillermo Subiabre,1928,FALSE
Chile,Guillermo Subiabre,1928,FALSE
Chile,Guillermo Subiabre,1928,FALSE
Netherlands,Leonardus Ghering,1928,FALSE
Netherlands,Felix Smeets,1928,FALSE
Netherlands,Wim Tap,1928,FALSE
Belgium,Pierre Braine,1928,FALSE
Argentina,Roberto Cherro,1928,FALSE
Argentina,Manuel Ferreira,1928,FALSE
Argentina,Domingo Tarasconi,1928,FALSE
Argentina,Domingo Tarasconi,1928,FALSE
Argentina,Domingo Tarasconi,1928,FALSE
Argentina,Manuel Ferreira,1928,FALSE
Italy,Adolfo Baloncieri,1928,FALSE
Uruguay,Pedro Cea,1928,FALSE
Uruguay,Antonio Campolo,1928,FALSE
Uruguay,Hector Scarone,1928,FALSE
Italy,Virgilio Levratto,1928,FALSE
Chile,Manuel Bravo Paredes,1928,FALSE
Netherlands,Leonardus Ghering,1928,FALSE
Netherlands,Felix Smeets,1928,FALSE
Chile,Ç?scar Alfaro,1928,FALSE
Italy,Angelo Schiavo,1928,FALSE
Egypt,Ali Mohamed Riad,1928,FALSE
Italy,Adolfo Baloncieri,1928,FALSE
Egypt,Ali Mohamed Riad,1928,FALSE
Italy,Elvio Banchero,1928,FALSE
Italy,Elvio Banchero,1928,FALSE
Italy,Angelo Schiavo,1928,FALSE
Italy,Elvio Banchero,1928,FALSE
Italy,Adolfo Baloncieri,1928,FALSE
Italy,Angelo Schiavo,1928,FALSE
Egypt,Moussa Hassan El-Ezam,1928,FALSE
Italy,Mario Magnozzi,1928,FALSE
Italy,Mario Magnozzi,1928,FALSE
Italy,Mario Magnozzi,1928,FALSE
Uruguay,Pedro Petrone,1928,FALSE
Argentina,Manuel Ferreira,1928,FALSE
Uruguay,Roberto Figueroa,1928,FALSE
Argentina,Luis Monti,1928,FALSE
Uruguay,Hector Scarone,1928,FALSE
Latvia,Arkadijs Pavlovs,1928,FALSE
Latvia,Alberts Vaters,1928,FALSE
Latvia,Alberts Vaters,1928,FALSE
Estonia,Arnold Pihlak,1928,FALSE
Estonia,Helmuth RÇÏÇÏstas,1928,FALSE
Estonia,Arnold Pihlak,1928,FALSE
Estonia,Arnold Pihlak,1928,FALSE
Estonia,Artur Maurer,1928,FALSE
Estonia,Artur Maurer,1928,FALSE
Latvia,Arnolds Tauri?­,1928,FALSE
Latvia,Voldemirs Plade,1929,FALSE
Latvia,Voldemirs Plade,1929,FALSE
Latvia,Voldemirs Plade,1929,FALSE
Lithuania,Stepas Chmelevskis,1929,FALSE
Estonia,Eugen Einman,1929,FALSE
Latvia,Aleksandrs Priede,1929,FALSE
Estonia,Eduard Ellman-Eelma,1929,FALSE
Latvia,Arkadijs Pavlovs,1929,FALSE
Estonia,Eugen Einman,1929,FALSE
Lithuania,Stepas Chmelevskis,1929,FALSE
Estonia,Arnold Pihlak,1929,FALSE
Lithuania,Ricardas Rutkauskas,1929,FALSE
Estonia,Eugen Einman,1929,FALSE
Estonia,Eduard Ellman-Eelma,1929,FALSE
Estonia,Eduard Ellman-Eelma,1929,FALSE
Paraguay,Aurelio Gonzalez,1929,FALSE
Paraguay,DiÇügenes DomÇðnguez,1929,FALSE
Paraguay,Aurelio Gonzalez,1929,FALSE
Argentina,Carlos Peucelle,1929,FALSE
Argentina,Adolfo ZumelzÇ§,1929,FALSE
Argentina,Adolfo ZumelzÇ§,1929,FALSE
Argentina,Mario Evaristo,1929,FALSE
Argentina,Manuel Ferreira,1929,FALSE
Argentina,Manuel Ferreira,1929,FALSE
Argentina,Roberto Cherro,1929,FALSE
Paraguay,DiÇügenes DomÇðnguez,1929,FALSE
Uruguay,Lorenzo Fernandez,1929,FALSE
Uruguay,Lorenzo Fernandez,1929,FALSE
Uruguay,Lorenzo Fernandez,1929,FALSE
Uruguay,Jose¸ Leandro Andrade,1929,FALSE
Peru,AgustÇðn Lizarbe,1929,FALSE
Paraguay,Lino Nessi,1929,FALSE
Paraguay,Aurelio Gonzalez,1929,FALSE
Paraguay,Aurelio Gonzalez,1929,FALSE
Paraguay,Aurelio Gonzalez,1929,FALSE
Paraguay,DiÇügenes DomÇðnguez,1929,FALSE
Argentina,Manuel Ferreira,1929,FALSE
Argentina,Mario Evaristo,1929,FALSE
United States,Bart McGhee,1930,FALSE
United States,Tom Florie,1930,FALSE
United States,Bert Patenaude,1930,FALSE
France,Lucien Laurent,1930,FALSE
France,Marcel Langiller,1930,FALSE
France,Andre¸ Maschinot,1930,FALSE
Mexico,Juan CarreÇño,1930,FALSE
France,Andre¸ Maschinot,1930,FALSE
Yugoslavia,Aleksandar TirnaniŽ?,1930,FALSE
Yugoslavia,Ivan Bek,1930,FALSE
Brazil,Preguinho,1930,FALSE
Romania,Adalbert De?u,1930,FALSE
Peru,Luis de Souza,1930,FALSE
Romania,Constantin Stanciu,1930,FALSE
Romania,MiklÇüs Kovacs,1930,FALSE
Argentina,Luis Monti,1930,FALSE
Chile,Carlos Vidal,1930,FALSE
Chile,Manuel Rosas,1930,TRUE
Chile,Carlos Vidal,1930,FALSE
Yugoslavia,Ivan Bek,1930,FALSE
Yugoslavia,Blagoje MarjanoviŽ?,1930,FALSE
Yugoslavia,Ivan Bek,1930,FALSE
Yugoslavia,ŽorŽ?e VujadinoviŽ?,1930,FALSE
United States,Bert Patenaude,1930,FALSE
United States,Bert Patenaude,1930,FALSE
United States,Bert Patenaude,1930,FALSE
Uruguay,Hector Castro,1930,FALSE
Argentina,Guillermo Stebile,1930,FALSE
Argentina,Adolfo ZumelzÇ§,1930,FALSE
Argentina,Guillermo Stebile,1930,FALSE
Mexico,Manuel Rosas,1930,FALSE
Argentina,Francisco Varallo,1930,FALSE
Argentina,Adolfo ZumelzÇ§,1930,FALSE
Mexico,Manuel Rosas,1930,FALSE
Mexico,Roberto GayÇün,1930,FALSE
Argentina,Guillermo Stebile,1930,FALSE
Chile,Guillermo Subiabre,1930,FALSE
Paraguay,Luis Vargas PeÇña,1930,FALSE
Brazil,Moderato Wisintainer,1930,FALSE
Brazil,Preguinho,1930,FALSE
Brazil,Moderato Wisintainer,1930,FALSE
Brazil,Preguinho,1930,FALSE
Uruguay,Pablo Dorado,1930,FALSE
Uruguay,Hector Scarone,1930,FALSE
Uruguay,Peregrino Anselmo,1930,FALSE
Uruguay,Pedro Cea,1930,FALSE
Argentina,Guillermo Stebile,1930,FALSE
Argentina,Guillermo Stebile,1930,FALSE
Chile,Guillermo Subiabre,1930,FALSE
Argentina,Mario Evaristo,1930,FALSE
Argentina,Luis Monti,1930,FALSE
Argentina,Alejandro Scopelli,1930,FALSE
Argentina,Guillermo Stebile,1930,FALSE
Argentina,Carlos Peucelle,1930,FALSE
Argentina,Carlos Peucelle,1930,FALSE
Argentina,Guillermo Stebile,1930,FALSE
United States,Jim Brown,1930,FALSE
Yugoslavia,ŽorŽ?e VujadinoviŽ?,1930,FALSE
Uruguay,Pedro Cea,1930,FALSE
Uruguay,Peregrino Anselmo,1930,FALSE
Uruguay,Peregrino Anselmo,1930,FALSE
