Player,Decade,URL,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939
Santos UrdinarÇ­n,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Ernesto Duarte Machado da Silva,1920s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
AgustÇðn Zelada,1920s,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Valdemar Mota,1920s,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Raimondo Orsi,1920s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3
Robert Theissen,1920s,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Ali El-Hassany,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Felix Smeets,1920s,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
Louis Versijp,1920s,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Domingo Zaldua,1920s,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Frank Ghent,1920s,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guillermo Subiabre,1920s,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,0,0,0,0,0,0,0,0,0,0,2,2,5,5,7,7,7,7,7,7,7,7,7,7
Luis Fretes,1920s,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Jose¸ Leandro Andrade,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Pedro Cea,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,0,0,0,0,0,0,0,4,4,4,4,5,5,10,10,10,10,10,10,10,10,10,10
Juste Brouzes,1920s,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
Angelo Schiavo,1920s,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4
Stepas Chmelevskis,1920s,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3
Juan ArremÇün,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Walter Dietrich,1920s,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Paddy Duncan,1920s,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evert Lundqvist,1920s,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alberts Vaters,1920s,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
Paisano Urbita Sosa,1920s,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vitor Silva,1920s,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,4,4,4,4,4,4
Alfredo Garasini,1920s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Max Abegglen,1920s,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Mario Magnozzi,1920s,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4
David Arellano,1920s,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,0,0,0,0,0,0,0,0,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Jose¸ Vidal,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jose¸ Cea,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Jorge Sarmiento,1920s,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Pierre Braine,1920s,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Pascual Somma,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ceferino RamÇðrez,1920s,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Eugen Einman,1920s,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4
Luis Monti,1920s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,3
Ismael Alvariza,1920s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Juan Carlos Irurieta,1920s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ismail El-Sayed Hooda,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Manuel Bravo Paredes,1920s,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Elvio Banchero,1920s,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4
Gino Rossetti,1920s,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Hector Castro,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,0,0,0,0,0,0,0,0,0,6,8,9,9,11,11,11,11,11,13,13,13,13,13
Ferenc Hirzer,1920s,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ricardas Rutkauskas,1920s,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Arnolds Tauri?­,1920s,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2
DiÇügenes DomÇðnguez,1920s,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
Roberto Cherro,1920s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,0,0,0,0,3,3,7,8,8,8,8,8,8,8,8,8,8,8
Severino Da Silva,1920s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Leonardus Ghering,1920s,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
Rudolf Sloup,1920s,https://en.wikipedia.org/wiki/File:Flag_of_Czechoslovakia.png,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Raymond Braine,1920s,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,4,4
Pepe Soares,1920s,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
Adolfo ZumelzÇ§,1920s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4
Ç?scar Alfaro,1920s,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Hernando Bolados,1920s,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Richard Hofmann,1920s,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4
Carlos Soto,1920s,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gamil El-Zobeir,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Alfredo Carricaberry,1920s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3
Zoilo Saldombide,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Vicente Aguirre,1920s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Altino Marcondes,1920s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eduard Ellman-Eelma,1920s,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,5,5,6,6,6,6,6
Guillermo Saavedra,1920s,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Mario Evaristo,1920s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3
Antonio Cerroti,1920s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mirko BonaŽiŽ?,1920s,https://commons.wikimedia.org/wiki/File:Flag_of_Yugoslavia_(1946-1992).svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Çngel Mariscal,1920s,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Hussein Hegazi,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bekir Refet,1920s,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
Gabino Sosa,1920s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,0,0,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Florimond Vanhalme,1920s,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
AnÇðbal MÇ¸dicis Candiota,1920s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Julio Francia,1920s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Felipe Buffoni,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mario Alborta,1920s,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Ernesto Sota,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Nilo Braga,1920s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,0,0,0,0,0,0,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Adhemar Canavesi,1920s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Guillaume Schutz,1920s,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Jose¸ Bustamante,1920s,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
Antonio de Miguel,1920s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Daniel Ulloa,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Voldemirs Plade,1920s,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
Andy Straden,1920s,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pedro Vallana,1920s,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Antonio Sacco,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
Henry Carroll,1920s,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Alberto Montellanos,1920s,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2
Alejandro Carbonell,1920s,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Rudolph Kuntner,1920s,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Manuel RamÇðrez,1920s,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Lorenzo Fernandez,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
Ildefonso LÇüpez,1920s,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg,0,0,0,0,0,1,2,3,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Demetrio Neyra,1920s,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Luis Regueiro,1920s,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,5,5,5,5,5,5
Arnold Pihlak,1920s,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4
